State,City
ANDHRA PRADESH,Nandyal 
NCT OF DELHI,Nangloi Jat 
ANDHRA PRADESH,Narasaraopet 
MAHARASHTRA,Nashik 
MAHARASHTRA,Navi Mumbai 
MAHARASHTRA,Navi Mumbai Panvel Raigarh 
GUJARAT,Navsari 
MADHYA PRADESH,Neemuch 
ANDHRA PRADESH,Nellore 
NCT OF DELHI,New Delhi 
TAMIL NADU,Neyveli 
ANDHRA PRADESH,Nizamabad 
UTTAR PRADESH,Noida 
WEST BENGAL,North Barrackpur 
WEST BENGAL,North Dum Dum 
ANDHRA PRADESH,Ongole 
UTTAR PRADESH,Orai 
MAHARASHTRA,Osmanabad 
PUDUCHERRY,Ozhukarai 
KERALA,Palakkad 
GUJARAT,Palanpur 
RAJASTHAN,Pali 
TAMIL NADU,Pallavaram 
HARYANA,Palwal 
HARYANA,Panchkula 
WEST BENGAL,Panihati 
HARYANA,Panipat 
MAHARASHTRA,Panvel 
MAHARASHTRA,Parbhani 
GUJARAT,Patan 
PUNJAB,Pathankot 
PUNJAB,Patiala 
BIHAR,Patna 
UTTAR PRADESH,Pilibhit 
MAHARASHTRA,Pimpri Chinchwad 
MADHYA PRADESH,Pithampur 
GUJARAT,Porbandar 
ANDAMAN & NICOBAR ISLANDS,Port Blair 
ANDHRA PRADESH,Proddatur 
PUDUCHERRY,Puducherry 
TAMIL NADU,Pudukkottai 
MAHARASHTRA,Pune 
ORISSA,Puri 
BIHAR,Purnia 
WEST BENGAL,Puruliya 
UTTAR PRADESH,Rae Bareli 
KARNATAKA,Raichur 
WEST BENGAL,Raiganj 
CHHATTISGARH,Raigarh 
CHHATTISGARH,Raipur 
ANDHRA PRADESH,Rajahmundry 
TAMIL NADU,Rajapalayam 
WEST BENGAL,Rajarhat Gopalpur 
GUJARAT,Rajkot 
CHHATTISGARH,Rajnandgaon 
WEST BENGAL,Rajpur Sonarpur 
ANDHRA PRADESH,Ramagundam 
UTTAR PRADESH,Rampur 
JHARKHAND,Ranchi 
KARNATAKA,Ranibennur 
WEST BENGAL,Raniganj 
MADHYA PRADESH,Ratlam 
ORISSA,Raurkela Industrial Township 
ORISSA,Raurkela Town 
MADHYA PRADESH,Rewa 
HARYANA,Rewari 
WEST BENGAL,Rishra 
KARNATAKA,Robertson Pet 
HARYANA,Rohtak 
UTTARAKHAND,Roorkee 
UTTARAKHAND,Rudrapur 
PUNJAB,S.A.S. Nagar 
MADHYA PRADESH,Sagar 
UTTAR PRADESH,Saharanpur 
BIHAR,Saharsa 
TAMIL NADU,Salem 
ORISSA,Sambalpur 
UTTAR PRADESH,Sambhal 
MAHARASHTRA,Sangli Miraj Kupwad 
WEST BENGAL,Santipur 
BIHAR,Sasaram 
MAHARASHTRA,Satara 
MADHYA PRADESH,Satna 
RAJASTHAN,Sawai Madhopur 
ANDHRA PRADESH,Secunderabad 
MADHYA PRADESH,Sehore 
MADHYA PRADESH,Seoni 
WEST BENGAL,Serampore 
UTTAR PRADESH,Shahjahanpur 
UTTAR PRADESH,Shamli 
UTTAR PRADESH,Shikohabad 
MEGHALAYA,Shillong 
HIMACHAL PRADESH,Shimla 
KARNATAKA,Shimoga 
MADHYA PRADESH,Shivpuri 
RAJASTHAN,Sikar 
ASSAM,Silchar 
WEST BENGAL,Siliguri 
MADHYA PRADESH,Singrauli 
HARYANA,Sirsa 
UTTAR PRADESH,Sitapur 
BIHAR,Siwan 
MAHARASHTRA,Solapur 
HARYANA,Sonipat 
WEST BENGAL,South Dum Dum 
ANDHRA PRADESH,Srikakulam 
JAMMU & KASHMIR,Srinagar 
RAJASTHAN,Sujangarh 
NCT OF DELHI,Sultan Pur Majra 
UTTAR PRADESH,Sultanpur 
GUJARAT,Surat 
GUJARAT,Surendranagar Dudhrej 
ANDHRA PRADESH,Suryapet 
ANDHRA PRADESH,Tadepalligudem 
ANDHRA PRADESH,Tadpatri 
TAMIL NADU,Tambaram 
ANDHRA PRADESH,Tenali 
MAHARASHTRA,Thane 
HARYANA,Thanesar 
TAMIL NADU,Thanjavur 
KERALA,Thiruvananthapuram 
TAMIL NADU,Thoothukkudi 
KERALA,Thrissur 
TAMIL NADU,Tiruchirappalli 
TAMIL NADU,Tirunelveli 
ANDHRA PRADESH,Tirupati 
TAMIL NADU,Tiruppur 
TAMIL NADU,Tiruvannamalai 
TAMIL NADU,Tiruvottiyur 
WEST BENGAL,Titagarh 
RAJASTHAN,Tonk 
KARNATAKA,Tumkur 
RAJASTHAN,Udaipur 
MAHARASHTRA,Udgir 
KARNATAKA,Udupi 
MADHYA PRADESH,Ujjain 
MAHARASHTRA,Ulhasnagar 
WEST BENGAL,Uluberia 
UTTAR PRADESH,Unnao 
WEST BENGAL,Uttarpara Kotrung 
GUJARAT,Vadodara 
GUJARAT,Valsad 
UTTAR PRADESH,Varanasi 
MAHARASHTRA,Vasai Virar City 
TAMIL NADU,Vellore 
GUJARAT,Veraval 
MADHYA PRADESH,Vidisha 
ANDHRA PRADESH,Vijayawada 
ANDHRA PRADESH,Visakhapatnam
ANDHRA PRADESH,Vizianagaram 
ANDHRA PRADESH,Warangal 
MAHARASHTRA,Wardha 
HARYANA,Yamunanagar 
MAHARASHTRA,Yavatmal 
